name,items,retail_value,price,value_ratio
Kids Kitchen,"1x Kids Kitchen Shopping Bag $8.00
1x Kids Kitchen Chefs Hat $8.00
1x Kids Kitchen Apron $14.95
1x Kids Kitchen Oven Mitt $8.00
1x Kids Kitchen 4 piece Silicon Cupcake Wraps  $4.00
1x Kids Kitchen Measuring Spoons $5.00
1x Kids Kitchen 6 Piece Cookie Cutter Set $6.00
1x Kids Kitchen Silicone Pastry Brush $5.00
1x Kids Kitchen Roller $5.00
1x Kids Kitchen Silicone Spatula $5.00
1x Kids Kitchen Silicone Rainbow Whisk $5.00
1x Kids Kitchen 6 x Recipe Cards ",73.95,22.0,3.3613636363636363
BBZ,"1x BBZ Bucket Hat $9.95
1x BBZ Hoop Earrings $7.95
1x BBZ Handbag $24.95
1x BBZ Phone Charm $9.95
1x BBZ Brow Setter $9.95
1x BBZ Sunglasses $19.95
1x BBZ Lip Gloss $4.95
1x BBZ Headband $4.95
1x BBZ Hair Clip $4.95
1x BBZ Nail Stickers $4.95
1x BBZ Tote Bag $4.95",107.45,32.0,3.3578125
Block Tech,"1x Block Tech Tote Bag $3.95
1x Block Tech Space Kit $15.95
2x Block Tech Surprise Model $5.95
1x Block Tech Figure & Block Bag $9.95
1x Block Tech Fire Packs $29.95
1x Block Tech Construction $15.95
1x Block Tech Turbo $15.95",103.6,32.0,3.2375
Scunci Hair Accessories,"1x Scunci Toiletry Bag  $12.95
1x Scunci Paddle Brush with Argan & Keratin  $24.95
1x Scunci Elastics & Poly Band Value Pack Mixed 340pcs (assorted colours) $12.95
1x Scunci Essential Pack 35pcs (four snap clips, ten elastics, 20 poly bands and a gorgeous floral scrunchie) - assorted colours $9.95
1x Scunci Jaw Clips Jelly 6pc (assorted colours) $9.95
1x Scunci Shower Scrunchie  $8.95
1x Batiste Cherry Dry Shampoo 200ml $9.95",89.65,28.0,3.2017857142857147
Star Wars Retro,"1x Star Wars Shopper Bag  $4.99
1x Star Wars Beach Towel  $31.99
1x Star Wars Cap  $14.99
1x Star Wars Socks $14.99
1x Star Wars Drink Bottle  $12.99
1x Star Wars Mug  $12.99
1x Star Wars Wrist Band  $2.99",95.93,30.0,3.197666666666667
Subway Socceroos,"1x FFA Socceroos Bag $7.99
1x FFA Socceroos Soccer Ball $35.95
1x FFA Socceroos Wrist Band $2.99
1x FFA Socceroos Drink Bottle $14.95
1x FFA Socceroos Keyring $5.99
1x FFA Socceroos Scarf $24.95",92.82,30.0,3.094
Kiss and Make Up,"1x LA Girl Matte Lip Gloss $9.95
1x False Eyelashes $9.95
2x 5ml Nail Polish $1.95
1x Curved Foam Nail File $1.95
1x Liquid Eyeliner/Mascara 2 in 1 $6.95
1x Matte Colour Lip Pencil with Sharpener $9.95
1x Eyebrow Pencil with Brush $1.95
1x Powder Puff    $1.95
1x Highlighter Chubby Stick $9.95
1x 18 Colour Eye Shadow Palette $9.95
1x BB Cream $5.95
1x Choice of Shimmer Backpack $19.95",92.35,30.0,3.078333333333333
Dinosaur Rules,"1x Large Dinosaur Tyrannosaurus Rex Figurine  $24.95
1x Large Dinosaur Brontosaurus Figurine $24.95
1x Dinosaur Set with Dinosaur Egg $8.95
1x  Kamakura Dinosaur $2.95
1x 9 Assorted Dinosaurs $8.95
1x  Veloceraptor Dinosaur $2.95
1x  Transforming Dinosaur $8.95
1x Dinosaur Hat $4.95
1x  Veloceraptor Dinosaur $2.95",90.55,30.0,3.018333333333333
Harry Potter Charms #2,"1x Harry Potter Charms Sticker & Stamp Set $9.95
1x Harry Potter Charms Duffle Bag $24.95
1x Harry Potter Charms Glasses $7.95
1x Harry Potter Charms Cooler Bag $12.95
1x Harry Potter Charms Puzzle $9.95
1x Harry Potter Charms Tote Bag $3.95
1x Harry Potter Charms Diary $12.95
1x Harry Potter Charms Tie $12.95",95.6,32.0,2.9875
Jumbo 100 in 1,"1x Super Sticky Hand $4.95
50x Fruit Mentos Chews $0.10
1x Cosmic Bubble Gum Sticks 10 pack $1.25
1x Radz Fizz Bombs Blast Drops Assorted Flavours 10 Pack $1.25
2x Ghost Drop Candy 10 Pack $1.25
2x Yupi Baby Bears 10g $0.35
2x Yupi Neon Stix 10g $0.35
2x Yupi Cola Bottles 10g $0.35
1x Comic Sour Powder Finger Dip $1.50
6x Magic Popping Candy $0.20
1x Plus Your Choice Of One Of The Following Items $9.95
Soft Plush Animal 
Magic Expandable Sphere 
Bounce Back Ball 
Inflatable Bat 
Pop It ",29.7,10.0,2.9699999999999998
Avengers Endgame,"1x Avengers Endgame T-Shirt $19.99
1x Avengers Endgame Cap  $14.99
1x Avengers Endgame Socks $14.99
1x Avengers Endgame Metal Sign $14.99
1x Avengers Endgame Tumbler $4.99
1x Avengers Endgame Drink Bottle $12.99
1x Avengers Endgame Shopper Bag $4.99",87.93,30.0,2.931
AFL Collingwood Showbag,"1x Collingwood Magpies Laminated Bag $7.99
1x Collingwood Magpies Trucker Cap $14.99
1x Collingwood Magpies Lenticular Tumbler $4.99
1x Collingwood Magpies Badge Card $9.99
1x Collingwood Magpies Playing Card $9.99
1x Collingwood Magpies Mini Flag $19.99
1x Collingwood Magpies Bottle $9.99
1x Collingwood Magpies Bumper Sticker $4.99
1x Collingwood Magpies Tattoo Sheet $4.99",87.91,30.0,2.930333333333333
AFL Western Bulldogs,"1x Western Bulldogs Laminated Bag $7.99
1x Western Bulldogs Trucker Cap $14.99
1x Western Bulldogs Lenticular Tumbler $4.99
1x Western Bulldogs Badge Card $9.99
1x Western Bulldogs Playing Card $9.99
1x Western Bulldogs Mini Flag $19.99
1x Western Bulldogs Bottle $9.99
1x Western Bulldogs Bumper Sticker $4.99
1x Western Bulldogs Tattoo Sheet $4.99",87.91,30.0,2.930333333333333
AFL Essendon Showbag,"1x Essendon Bombers Laminated Bag $7.99
1x Essendon Bombers Trucker Cap $14.99
1x Essendon Bombers Lenticular Tumbler $4.99
1x Essendon Bombers Badge Card $9.99
1x Essendon Bombers Playing Card $9.99
1x Essendon Bombers Mini Flag $19.99
1x Essendon Bombers Bottle $9.99
1x Essendon Bombers Bumper Sticker $4.99
1x Essendon Bombers Tattoo Sheet $4.99",87.91,30.0,2.930333333333333
AFL Carlton Showbag,"1x Carlton Blues Laminated Bag $7.99
1x Carlton Blues Trucker Cap $14.99
1x Carlton Blues Lenticular Tumbler $4.99
1x Carlton Blues Badge Card $9.99
1x Carlton Blues Playing Card $9.99
1x Carlton Blues Mini Flag $19.99
1x Carlton Blues Bottle $9.99
1x Carlton Blues Bumper Sticker $4.99
1x Carlton Blues Tattoo Sheet $4.99",87.91,30.0,2.930333333333333
House of Horror,"1x 72cm Zombie Baseball Bat with Barbed Wire $12.95
1x Scream Horror Mask $6.95
1x Dracula Cape with Skeleton $19.95
1x Horror Wound Temporary Tattoo $6.95
1x Arrow Through Head Trick $6.95
1x Freddy Fright Glove $9.95
1x Spider web with Spiders $8.95",72.65,25.0,2.906
The Simpsons HOMER,"1x Homer Simpson Bag $7.99
1x Homer Simpson Trucker Cap $14.99
1x Homer Simpson Can Cooler $14.95
1x Homer Simpson Keyring $5.99
1x Homer Simpson Beach Towel $29.99
1x Homer Simpson Tumbler $4.99
1x Homer Simpson Socks $7.99",86.89,30.0,2.896333333333333
Ultimate Magic,"1x Metal Ball and String Trick $1.95
1x Magic 1000 Mile Eye Dice Trick $1.95
1x Magic Spring Trick $1.95
1x Magic Seeing Eye Trick $1.95
1x Magic Cup Trick $1.95
1x Magic Hide the Scarf Trick $2.95
1x Magic Saucer Trick $1.95
3x Magic Set with 15+ Tricks $6.95
1x Zombie Teeth $3.95
1x Glow In the Dark Fingers $3.95
1x Gag Dog Poo $2.95
1x Halloween Bloody Hand Prints $5.95
1x Plus Your Choice Of ONE Of The Following: $20.00
Unicorn Mask 
Horse Mask 
Husky Mask 
Chicken Mask 
Eagle Mask 
Panda Mask 
Wolf Mask 
Gorilla Mask 
Donkey ",72.3,25.0,2.892
Pusheen #1,"1x Pusheen Backpack $24.95
1x Pusheen Coasters $4.95
1x Pusheen Cooler Bag $9.95
1x Pusheen Cosmetic Bag Set $5.95
1x Pusheen Eye Mask $4.95
1x Pusheen Keychain $3.95
1x Pusheen Mini Notebooks (3pk) $5.95
1x Pusheen Pen Set $2.95
1x Pusheen Puzzle  $9.95
1x Pusheen Shower Cap $3.95
1x Pusheen Socks $9.95
1x Pusheen Tote Bag $4.95",92.4,32.0,2.8875
Assassins Creed,"1x Assassins Creed Tote Bag $3.95
1x Assassins Creed Coasters $4.95
1x Assassins Creed Cooler Bag  $9.95
1x Assassins Creed Drink Bottle 750ml $12.95
1x Assassins Creed  Duffle Bag $29.95
1x Assassins Creed Keyring $4.95
1x Assassins Creed  Mouse pad $3.95
1x Assassins Creed Socks $9.95
1x Assassins Creed Tech Decals $4.95
1x Assassins Creed Wristbands $5.95",91.5,32.0,2.859375
White Glo Toothpaste,"1x White Glo Tote Bag  $17.95
1x White Glo Diamond Series Advanced Teeth Whitening Kit  $19.95
1x White Glo Ultra Fresh Toothpaste 115g $6.00
1x White Glo Tartar Control Toothpaste 115g $6.00
1x White Glo Hemp Seed Oil Toothpaste + Toothbrush $6.00
1x White Glo Toothpaste Tablets  $13.00
1x White Glo Breath Spray  $6.00
1x White Glo Professional White Toothpaste 24g $3.50
1x White Glo Gum Health Toothpaste 24g $3.50
1x White Glo Charcoal Toothpaste 24g $3.50",85.4,30.0,2.8466666666666667
Kids Music Maker,"1x Kids Music Maker Canvas Drawstring Carry Bag $14.95
1x Kids Music Maker Bamboo Tamborine $14.95
1x Kids Music Maker Bamboo Zylophone $14.95
1x Kids Music Maker Bamboo Recorder $14.95
1x Kids Music Maker Bamboo Maraccas $9.95
1x Kids Music Maker Bamboo Castanet $9.95",79.7,28.0,2.8464285714285715
Fairy Girls,"1x Set of Pastel Fairy Wings $9.95
1x Pastel Fairy Skirt $9.95
1x Fairy Headpiece $1.95
1x Fairy Wand $1.95
1x Fairy Princess Doll $4.95
1x Fairy Princess Stickers $1.95
1x Make Up $4.95
1x Princess Tiara $3.95
1x Fairy Mushroom House $6.95
1x Fairy Umbrella $9.95",56.5,20.0,2.825
CHATIME - BUBBLE TEA lovers,"1x Chatime Carry Tote Bag  $15.00
1x Chatime Light Up Keep Cup $21.95
1x Chatime Tropical Iced Tea Bubble Tea Kit 4 serves $10.00
1x Chatime Strawberry Iced Tea Bubble Tea Kit 4 serves $10.00
1x Chatime Caramel Milk Tea Bubble Tea Kit 4 serves $10.00
2x Chatime Thai Milk Bubble Tea 310ml $4.00
1x Chatime Reusable Metal Straw  $8.95",83.9,30.0,2.796666666666667
Mermaid,"1x Mermaid Notebook $4.95
1x Mermaid Backpack $24.95
1x Mermaid Hair Clips $4.95
1x Mermaid Hair Extension $9.95
1x Mermaid Lunch Box Set $12.95
1x Mermaid Face Jewels $7.95
1x Mermaid Nail Set $4.95
1x Mermaid Tote Bag $4.95
1x Mermaid Pen $7.95
1x Mermaid Lip Gloss $4.95",88.5,32.0,2.765625
AFL Richmond Showbag,"1x Richmond Tigers Laminated Bag $7.99
1x Richmond Tigers Trucker Cap $9.99
1x Richmond Tigers Lenticular Tumbler $4.99
1x Richmond Tigers Badge Card $9.99
1x Richmond Tigers Playing Card $9.99
1x Richmond Tigers Mini Flag $19.99
1x Richmond Tigers Bottle $9.99
1x Richmond Tigers Bumper Sticker $4.99
1x Richmond Tigers Tattoo Sheet $4.99",82.91,30.0,2.7636666666666665
AFL Sydney Swans Showbag,"1x Sydney Swans Laminated Bag $7.99
1x Sydney Swans Trucker Cap $9.99
1x Sydney Swans Lenticular Tumbler $4.99
1x Sydney Swans Badge Card $9.99
1x Sydney Swans Playing Card $9.99
1x Sydney Swans Mini Flag $19.99
1x Sydney Swans Bottle $9.99
1x Sydney Swans Bumper Sticker $4.99
1x Sydney Swans Tattoo Sheet $4.99",82.91,30.0,2.7636666666666665
AFL Melbourne Demons Showbag,"1x Melbourne Demons Laminated Bag $7.99
1x Melbourne Demons Trucker Cap $9.99
1x Melbourne Demons Lenticular Tumbler $4.99
1x Melbourne Demons Badge Card $9.99
1x Melbourne Demons Playing Card $9.99
1x Melbourne Demons Mini Flag $19.99
1x Melbourne Demons Bottle $9.99
1x Melbourne Demons Bumper Sticker $4.99
1x Melbourne Demons Tattoo Sheet $4.99",82.91,30.0,2.7636666666666665
Girls Only,"1x Girls Only Backpack $24.95
1x Girls Only Bracelet $7.95
1x Girls Only Clips $4.95
1x Girls Only Tote Bag $4.95
1x Girls Only Pencil Case $4.95
1x Girls Only Donut Pop It $7.95
1x Girls Only Hair Elastics $4.95
1x Girls Only Headband $7.95
1x Girls Only Sticker Book $4.95
1x Girls Only Stick on Earrings $4.95
1x Girls Only Stick on Nails $4.95
1x Girls Only Iron on Beads $4.95",88.4,32.0,2.7625
K-Beauty x Style Story,"1x K-Beauty Toiletry Bag  $12.95
1x SUBI Bare Skin Balm  $44.00
2x Tosowoong Pure Face Sheet Mask  $6.00
2x Subi Holo Dream Brightening Pore Minimizing Mask sachet 4ml $2.00
1x Jelly Ko Bubble Tea Steam Cream sachet 4ml $2.00
2x Jelly Ko Dewy Glaze Toner sachet 2ml  $1.00
1x www.stylestory.com.au 10% Discount Offer $5.00",81.95,30.0,2.731666666666667
X-Men,"1x X-Men Bag $7.99
1x X-Men T-Shirt $24.95
1x X-Men Socks $7.99
1x X-Men Drink Bottle $14.95
1x X-Men Keyring $5.99
2x X-Men Tumbler $9.99",81.85,30.0,2.728333333333333
The Simpsons Duff Beer,"1x The Simpsons Duff Beer Bag $7.99
1x The Simpsons Duff Beer Trucker Cap $14.99
1x The Simpsons Duff Beer Socks $7.99
1x The Simpsons Duff Beer Can Cooler $14.95
1x The Simpsons Duff Beer Keyring $5.99
1x The Simpsons Duff Beer T-Shirt $24.95
1x The Simpsons Duff Beer Tumbler $4.99",81.85,30.0,2.728333333333333
Bubble Tea,"1x Bubble Tea Socks $7.95
1x Bubble Tea Pouches $9.95
1x Bubble Tea Cup $12.95
1x Bubble Tea Notebook $3.95
1x Bubble Tea Backpack $24.95
1x Bubble Tea Card Set $5.95
1x Bubble Tea Keyring $2.95
1x Bubble Tea Slippers $12.95
1x Bubble Tea Non Woven Bag $4.95",86.55,32.0,2.7046875
Call of Duty,"1x Call of Duty Backpack $24.95
1x Call of Duty Badges $4.95
1x Call of Duty Bottle Opener $4.95
1x Call of Duty Cards $4.95
1x Call of Duty Desk Mat $12.95
1x Call of Duty Drink Cooler $4.95
1x Call of Duty Laptop Sticker $4.95
1x Call of Duty Tote Bag $4.95
1x Call of Duty Notebook $4.95
1x Call of Duty Pen Set $5.95
1x Call of Duty Wristbands $7.95",86.45,32.0,2.7015625
Black Panther Wakanda Forever,"1x Wakanda Forever Bag $7.99
1x Wakanda Forever T-Shirt $24.95
1x Wakanda Forever Cap $14.95
1x Wakanda Forever Socks $7.99
1x Wakanda Forever Keyring $14.99
2x Wakanda Forever Tumbler $4.99",80.85,30.0,2.695
Puppy Love,"1x Soft Plush  Puppy Handbag $19.95
1x Real Make Up Set in Puppy Love Case $16.95
1x Veterinarian Set $12.95
1x Large Soft Plush Lying Puppy $19.95
1x Snappy Wrist Band $2.00
1x Temporary Tattoos $1.95
1x Puppy Tea Set $6.95",80.7,30.0,2.69
Sloth,"1x Sloth Backpack $24.95
1x Sloth Bracelet $7.95
1x Sloth Mini Backpack Keychain $9.95
1x Sloth Tote Bag $4.95
1x Sloth Notebook $4.95
1x Sloth Pencil Case $9.95
1x Sloth Slapband $9.95
1x Sloth Socks $9.95
1x Sloth Stickers $2.95",85.55,32.0,2.6734375
BFF Best Friends Forever,"1x BFF Bracelet Set $4.95
1x BFF Carry Case $7.95
1x BFF Diary $9.95
1x BFF Hair Extensions $9.95
1x BFF Looms $4.95
1x BFF Nail Stickers $4.95
1x BFF Tote Bag $4.95
1x BFF Overnight Bag $24.95
1x BFF Stickers $4.95
1x BFF Necklace Set $7.95",85.5,32.0,2.671875
Little Ripper Bag,"1x 30gm Magic Sparkling Candy $2.00
1x 30gm Little Ripper Fizzy Chews $2.00
1x 37gm Little Ripper Fruit Stix $2.00
1x 10gm Little Ripper Lime Chew Bar $0.50
1x  10gm Little Ripper Strawberry Chew Bar $0.50
1x 10gm Little Ripper Grape Chew Bar $0.50
1x 10gm Little Ripper Blueraspberry Chew Bar $0.50",8.0,3.0,2.6666666666666665
Rick And Morty,"1x Rick And Morty Backpack $24.95
1x Rick And Morty Badges $4.95
1x Rick And Morty Bottle Opener $4.95
1x Rick And Morty Cap $12.95
1x Rick And Morty Decals $4.95
1x Rick And Morty Door Sign $9.95
1x Rick And Morty Pen Set $7.95
1x Rick And Morty Playing cards $4.95
1x Rick And Morty Socks $4.95
1x Rick And Morty Tote Bag $3.95",84.5,32.0,2.640625
Unicorn,"1x Unicorn Duffle Bag $19.95
1x Unicorn Coin Purse $4.95
1x Unicorn Hair Extension $4.95
1x Unicorn Jewellery Set $9.95
1x Unicorn  Stationery Set $7.95
1x Unicorn Keychain $2.95
1x Unicorn Body Glitter $7.95
1x Unicorn Tote Bag $4.95
1x Unicorn Lipstick $3.95
1x Unicorn Trinket Boxes $6.95
1x Unicorn Stuffed Toy $9.95",84.45,32.0,2.6390625
Spider-Man,"1x Spiderman Back Pack $24.95
1x Spiderman Socks $7.99
1x Spiderman Trucker Cap $14.99
1x Spiderman Drink Bottle $14.95
1x Spiderman Keyring $5.99
1x Spiderman Bumper Sticker $5.00
1x Spiderman Tumbler $4.99",78.86,30.0,2.6286666666666667
The Simpsons BART,"1x Bart Simpson Back Pack $24.95
1x Bart Simpson Socks $7.99
1x Bart Simpson Trucker Cap $14.99
1x Bart Simpson Drink Bottle $14.95
1x Bart Simpson Keyring $5.99
1x Bart Simpson Bumper Sticker $5.00
1x Bart Simpson Tumbler $4.99",78.86,30.0,2.6286666666666667
Sleep Squad,"1x Sleep Squad Duffle Bag $24.95
1x Sleep Squad Nail Art $3.95
1x Sleep Squad Tote Bag $4.95
1x Sleep Squad Socks $9.95
1x Sleep Squad Cosmetic Bag $9.95
1x Sleep Squad Trinket Boxes $5.95
1x Sleep Squad Stick on Earrings $3.95
1x Sleep Squad Slippers $9.95
1x Sleep Squad Eye Mask $5.95
1x Sleep Squad Mini Notebook $3.95",83.5,32.0,2.609375
Ultimate Fidgets,"1x CHAIN PUZZLE $4.50
1x FLIP OCTOPUS BULK $4.95
1x SQUISH BALL - 3 ON CARD $9.95
1x POP BALL 7CM $4.50
1x STRESS BALL $9.95
1x SUCTION BRACELET $3.50
1x POP SPINNER $4.95
1x GALAXY BALL $9.95
1x FIDGET STAR $2.95
1x SNAKE PUZZLE LARGE $2.95
1x WIGGLE SLUG $2.95
1x POP BUBBLE BUBBLE TEA $12.50
1x RAINBOW SPRING $4.95
1x ULTIMATE FIGETS MINI NON WOVEN BAG $3.95",82.5,32.0,2.578125
Venom,"1x Venom Bag $7.99
1x Venom Beach Towel $29.99
1x Venom Trucker Cap $14.99
1x Venom Socks $7.99
2x Venom Tumbler $4.99
1x Venom Keyring $5.99",76.93,30.0,2.5643333333333334
AC/DC,"1x AC/DC Bag $7.99
1x AC/DC Trucker Cap $14.99
1x AC/DC Socks $7.99
1x AC/DC Can Cooler $9.99
1x AC/DC Keyring $5.99
1x AC/DC T-Shirt $24.95
1x AC/DC Tumbler $4.99",76.89,30.0,2.563
Elvis,"1x Elvis Bag $7.99
1x Elvis Beach Towel $29.99
1x Elvis Socks $7.99
1x Elvis Drink Bottle $14.95
1x Elvis Keyring $5.99
1x Elvis Bumper Sticker $4.99
1x Elvis Tumbler $4.99",76.89,30.0,2.563
Star Wars The Mandalorian,"1x The Mandalorian Bag $7.99
1x The Mandalorian T-Shirt $24.95
1x The Mandalorian Trucker Cap $14.99
1x The Mandalorian Socks $7.99
1x The Mandalorian Can Cooler $9.99
1x The Mandalorian Tumbler $4.99
1x The Mandalorian Keyring $5.99",76.89,30.0,2.563
Pink Floyd,"1x Pink Floyd Bag $7.99
1x Pink Floyd Trucker Cap $14.99
1x Pink Floyd Socks $7.99
1x Pink Floyd Can Cooler $9.99
1x Pink Floyd Keyring $5.99
1x Pink Floyd T-Shirt $24.95
1x Pink Floyd Tumbler $4.99",76.89,30.0,2.563
KISS,"1x KISS Bag $7.99
1x KISS Trucker Cap $14.99
1x KISS Socks $7.99
1x KISS Can Cooler $9.99
1x KISS Keyring $5.99
1x KISS T-Shirt $24.95
1x KISS Tumbler $4.99",76.89,30.0,2.563
The Conscious Store,"1x TCS. Organic Canvas Shopping Tote $20.00
1x Choose One: TCS. Canvas Bulk Food Bags (Set of 2) OR Reusable Silicone Food Covers (Set of 3) $15.00
1x Choose One: TCS. Bamboo Lunch Box with Elastic Strap OR Children's Bamboo Tableware (Set of 5) $22.00
1x TCS. Glass Water Bottle with Bamboo Lid $15.00
1x TCS. Bamboo Toothbrush (Set of 2) $10.00
1x The Conscious Store. 15% off voucher online @ consciousstore.com.au ",82.0,32.0,2.5625
Beyblades,"1x Beyblades Activity Set $4.95
1x Beyblades Backpack $24.95
1x Beyblades Flying Disc $4.95
1x Beyblades Keychain $3.95
1x Beyblades Tote Bag $4.95
1x Beyblades Notebook $4.95
1x Beyblades Pencil case $4.95
1x Beyblades Socks $9.95
1x Beyblades Spinner $9.95
1x Beyblades Wristbands $7.95",81.5,32.0,2.546875
Sailor Moon,"1x Sailor Moon Backpack $19.99
1x Sailor Moon Bag Tag $7.99
1x Sailor Moon Lenticular Tumbler $4.99
1x Sailor Moon Cap $14.99
1x Sailor Moon Key Ring $5.99
1x Sailor Moon A5 Ruled Notebook $6.99
1x Sailor Moon Socks $14.99",75.93,30.0,2.531
G-Squad,"1x G-Squad Drink Bottle $7.95
1x G-Squad Gym Bag $24.95
1x G-Squad Hair Ties $4.95
1x G-Squad Tote Bag $4.95
1x G-Squad Socks $7.95
1x G-Squad Yoga Mat $19.95
1x G-Squad Yoga Mat Strap $9.95",80.65,32.0,2.5203125
We Bare Bears,"1x We Bare Bears A4 Sticker Sheet $3.95
1x We Bare Bears Backpack $24.95
1x We Bare Bears Coolerbag $12.95
1x We Bare Bears Drink Bottle $12.95
1x We Bare Bears Mobile Wallet Sticker $5.95
1x We Bare Bears A5 Notebook  $4.95
1x We Bare Bears Socks $9.95
1x We Bare Bears Tote Bag $4.95",80.6,32.0,2.51875
Dragonball Super,"1x Dragonball Super Backpack $24.95
1x Dragonball Super cap $12.95
1x Dragonball Super Drink Bottle $9.95
1x Dragonball Super Keyring $4.95
1x Dragonball Super Tote Bag $4.95
1x Dragonball Super Socks $9.95
1x Dragonball Super Tech Decals $7.95
1x Dragonball Super Wristbands $4.95",80.6,32.0,2.51875
Llama,"1x Llama Backpack $24.95
1x Llama Cap $12.95
1x Llama Cooler Bag $9.95
1x Llama Earrings $3.95
1x Llama Keychain $2.95
1x Llama A4 Notebook $3.95
1x Llama Ankle Socks $4.95
1x Llama Stickers $2.95
1x Llama Pencil Case $3.95
1x Llama Tote Bag $4.95",75.5,30.0,2.5166666666666666
Encanto Bag,"1x Encanto Carry Bag $5.95
1x Encanto Hair Brush $9.95
1x Encanto Glitter Nail Polish $3.95
1x Encanto Lip Balm $3.95
1x Encanto Paint By Water $3.95
1x Encanto Hair Accessories $5.95
2x Encanto Sticker Sets $1.95",37.6,15.0,2.506666666666667
Pokemon Junior #2,"1x Pokemon Backpack $24.95
1x Pokemon Cap $12.95
1x Pokemon Tote Bag $4.95
1x Pokemon Stationery Set $7.95
1x Pokemon Tech Decals $2.95
1x Pokemon Wristbands $4.95
1x Pokemon Wallet $7.95
1x Pokemon Mini Notebook (Assorted Designs) $9.95
1x Pokemon Trading Cards $2.95",79.55,32.0,2.4859375
Tim Tam,"2x Arnott's Tim Tam Original 200g $4.50
1x Arnott's Tim Tam Double Coat 200g $4.50
1x Arnott's Tim Tam Chewy Caramel 200g $4.50
1x Arnott's Tim Tam White 200g $4.50
1x Tim Tam Slippers or Mug Set (Choose one) $22.00",44.5,18.0,2.4722222222222223
Deadpool,"1x Deadpool T-Shirt $24.95
1x Deadpool Shopper Bag $4.99
1x Deadpool Cap $14.95
1x Deadpool Lenticular Tumbler $4.95
1x Deadpool Keyring $5.95
1x Deadpool Socks $14.95
1x Deadpool Wristband $2.99",73.73,30.0,2.457666666666667
Harry Potter Classic #2,"1x Harry Potter Backpack $24.95
1x Harry Potter Lanyard $4.95
1x Harry Potter Tote Bag $4.95
1x Harry Potter Tech Decals $2.95
1x Harry Potter Slippers $9.95
1x Harry Potter Wand $12.95
1x Harry Potter Scarf $12.95
1x Harry Potter Notebook $4.95",78.6,32.0,2.45625
NRL Gold Coast Titans,"1x NRL T-Shirt Transfer $5.95
1x NRL Cap $12.95
1x NRL Drink Bottle $12.95
1x NRL Duffle Bag $24.95
1x NRL Flag $9.95
1x NRL Tote Bag $3.95
1x NRL Stickers $2.95",73.65,30.0,2.455
NRL Canberra Raiders,"1x NRL T-Shirt Transfer $5.95
1x NRL Cap $12.95
1x NRL Drink Bottle $12.95
1x NRL Duffle Bag $24.95
1x NRL Flag $9.95
1x NRL Tote Bag $3.95
1x NRL Stickers $2.95",73.65,30.0,2.455
NRL Newcastle Knights,"1x NRL T-Shirt Transfer $5.95
1x NRL Cap $12.95
1x NRL Drink Bottle $12.95
1x NRL Duffle Bag $24.95
1x NRL Flag $9.95
1x NRL Tote Bag $3.95
1x NRL Stickers $2.95",73.65,30.0,2.455
Mega Kids,"1x 2 in 1 Play and Learn Table with Lights and Sound $30.00
1x Little Artist Sketchpad $15.00
1x Ride on Scooter  $40.00",85.0,35.0,2.4285714285714284
Harry Potter Charms #1,"1x Harry Potter Charms Backpack $19.95
1x Harry Potter Charms Stickers $2.95
1x Harry Potter Charms Keyring $3.95
1x Harry Potter Charms Puzzle $9.95
1x Harry Potter Charms Diary $12.95
1x Harry Potter Charms Tie $12.95
1x Harry Potter Charms Cooler Bag $9.95
1x Harry Potter Charms Tote Bag $4.95",77.6,32.0,2.425
Purrfect Just the Way You Are,"1x Choice of  Pussy Cat Backpack $15.95
1x Plush Pussy Cat $15.95
1x Pussy Cat Mug $4.95
1x Pussy Cat Compact Mirror $2.95
1x Pussy Cat Shoulder Bag $7.95
1x Pussy Cat Make Up Case $2.95
1x Pussy Cat Spiral Notebook $4.95
1x Pussy Cat Book Marks $4.95",60.6,25.0,2.424
Dragonball Z,"1x Dragon Ball Z Tumbler $4.99
1x Dragon Ball Z Cap $14.99
1x Dragon Ball Z PVC Rubber Key Ring $4.99
1x Dragon Ball Z Backpack $19.99
1x Dragon Ball Z A5 Notebook $6.99
1x Dragon Ball Socks $14.99
1x Dragon Ball Z Temporary Tattoo Sheet $4.99",71.93,30.0,2.397666666666667
Snoopy,"1x Snoopy Bag $7.99
1x Snoopy  Socks $7.99
1x Snoopy Cap $14.99
1x Snoopy  Drink Bottle $14.95
1x Snoopy Keyring $5.99
1x Snoopy Plush Toy $14.99
1x Snoopy Tumbler $4.99",71.89,30.0,2.396333333333333
Gudetama,"1x Gudetama Notebook $4.95
1x Gudetama Backpack $24.95
1x Gudetama Bento Box $9.95
1x Gudetama Cosmetic Bag Set $9.95
1x Gudetama Greeting Cards $4.95
1x Gudetama Mini Gel Pens $5.95
1x Gudetama Post it notes $4.95
1x Gudetama Short Lanyard $6.95
1x Gudetama Tote Bag $3.95",76.55,32.0,2.3921875
May Gibbs,"1x May Gibbs Backpack $19.95
1x May Gibbs Bath Book $7.95
1x May Gibbs Bucket Hat $9.95
1x May Gibbs Plate Set $12.95
1x May Gibbs Cooler bag $9.95
1x May Gibbs Wall Decals $4.95
1x May Gibbs Placemat $4.95
1x May Gibbs Tote Bag $4.95",75.6,32.0,2.3625
